# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.667000e+01
# lRef        : 1.090700e+01
# Aref        : 7.851000e+00
# CofR        : (1.090700e+01 0.000000e+00 5.000000e-01)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	9.190123e+00	4.594889e+00	4.595234e+00	-8.863689e-02	1.195309e+00	-1.283946e+00	1.239628e+00	-1.723631e-04	5.959097e-02	1.015607e-02	6.466901e-02	-5.451294e-02
2             	3.403379e+00	1.702843e+00	1.700536e+00	-4.243114e-01	6.021785e-02	-4.845292e-01	2.723735e-01	1.153803e-03	1.396307e-02	1.104776e-02	1.948695e-02	-8.439191e-03
3             	1.188275e+00	5.940411e-01	5.942344e-01	-3.249019e-01	-1.275189e-01	-1.973830e-01	3.493205e-02	-9.663025e-05	-1.380852e-03	8.791706e-03	3.015001e-03	5.776705e-03
4             	6.916316e-01	3.460320e-01	3.455996e-01	-2.282350e-01	-1.220531e-01	-1.061820e-01	-7.935537e-03	2.161617e-04	-2.245054e-03	1.286378e-03	-1.601865e-03	2.888243e-03
5             	6.682038e-01	3.354933e-01	3.327105e-01	-2.184231e-01	-1.254147e-01	-9.300837e-02	-1.620316e-02	1.391420e-03	2.974157e-03	-5.380234e-03	2.840399e-04	-5.664273e-03
6             	6.880393e-01	3.463534e-01	3.416859e-01	-2.178301e-01	-1.218778e-01	-9.595231e-02	-1.296273e-02	2.333775e-03	6.430112e-03	-1.085847e-02	1.000875e-03	-1.185935e-02
7             	7.300723e-01	3.679983e-01	3.620740e-01	-2.278778e-01	-1.222425e-01	-1.056353e-01	-8.303634e-03	2.962145e-03	8.853020e-03	-1.550946e-02	1.098291e-03	-1.660775e-02
8             	7.652063e-01	3.857574e-01	3.794489e-01	-2.346936e-01	-1.235560e-01	-1.111376e-01	-6.209184e-03	3.154261e-03	1.033543e-02	-1.826856e-02	1.201149e-03	-1.946971e-02
9             	7.850638e-01	3.956598e-01	3.894041e-01	-2.387982e-01	-1.295116e-01	-1.092866e-01	-1.011251e-02	3.127837e-03	1.127691e-02	-1.958593e-02	1.483945e-03	-2.106987e-02
10            	7.956983e-01	4.007334e-01	3.949649e-01	-2.429971e-01	-1.401845e-01	-1.028127e-01	-1.868589e-02	2.884229e-03	1.046113e-02	-1.903809e-02	9.420867e-04	-1.998018e-02
