# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.667000e+01
# lRef        : 4.036000e+00
# Aref        : 2.332000e+00
# CofR        : (4.036000e+00 0.000000e+00 5.000000e-01)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	3.765349e+00	1.882029e+00	1.883319e+00	-1.459132e+00	-1.412940e+00	-4.619253e-02	-6.833737e-01	-6.450186e-04	1.203431e-02	-1.609805e-02	3.985282e-03	-2.008333e-02
2             	1.855319e+00	9.251747e-01	9.301447e-01	-6.761644e-01	-7.905830e-01	1.144186e-01	-4.525008e-01	-2.485002e-03	2.129341e-03	7.244284e-04	2.491555e-03	-1.767127e-03
3             	8.113199e-01	4.042367e-01	4.070832e-01	-3.688757e-01	-5.327454e-01	1.638697e-01	-3.483075e-01	-1.423241e-03	-1.278589e-03	2.265173e-03	-1.460021e-04	2.411175e-03
4             	4.340178e-01	2.155984e-01	2.184194e-01	-1.457077e-01	-2.929030e-01	1.471953e-01	-2.200492e-01	-1.410477e-03	5.204588e-05	-1.742948e-03	-8.194283e-04	-9.235201e-04
5             	3.040941e-01	1.509285e-01	1.531656e-01	-2.297004e-02	-1.636029e-01	1.406329e-01	-1.521179e-01	-1.118574e-03	6.787602e-04	-2.966077e-03	-8.042782e-04	-2.161799e-03
6             	2.625327e-01	1.302320e-01	1.323007e-01	5.421260e-02	-8.375108e-02	1.379637e-01	-1.108574e-01	-1.034331e-03	5.571785e-04	-2.290102e-03	-5.878723e-04	-1.702229e-03
7             	2.528223e-01	1.254679e-01	1.273544e-01	9.374032e-02	-4.109160e-02	1.348319e-01	-8.796176e-02	-9.432354e-04	1.279955e-04	-6.953734e-04	-2.196912e-04	-4.756822e-04
8             	2.489111e-01	1.234714e-01	1.254397e-01	1.023933e-01	-2.840693e-02	1.308002e-01	-7.960358e-02	-9.841408e-04	-4.724804e-04	1.235187e-03	1.451128e-04	1.090074e-03
9             	2.496917e-01	1.237282e-01	1.259635e-01	9.267233e-02	-3.106382e-02	1.237361e-01	-7.739998e-02	-1.117642e-03	-7.199904e-04	2.847272e-03	7.036454e-04	2.143626e-03
10            	2.527612e-01	1.250983e-01	1.276629e-01	7.557730e-02	-3.942511e-02	1.150024e-01	-7.721376e-02	-1.282330e-03	-6.878017e-04	3.927459e-03	1.275928e-03	2.651531e-03
