# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.667000e+01
# lRef        : 3.638000e+00
# Aref        : 2.266000e+00
# CofR        : (3.638000e+00 0.000000e+00 5.000000e-01)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	4.030736e+00	2.014725e+00	2.016010e+00	-1.450810e+00	-1.317373e+00	-1.334366e-01	-5.919681e-01	-6.425413e-04	2.585284e-03	-1.281948e-03	1.944310e-03	-3.226258e-03
2             	1.975896e+00	9.874079e-01	9.884877e-01	-6.440435e-01	-6.852187e-01	4.117517e-02	-3.631969e-01	-5.399025e-04	6.069796e-04	2.879164e-04	7.509378e-04	-4.630214e-04
3             	9.655077e-01	4.833329e-01	4.821748e-01	-4.188553e-01	-5.198638e-01	1.010085e-01	-3.104361e-01	5.790787e-04	-1.797759e-03	5.912676e-03	1.158579e-03	4.754097e-03
4             	5.131587e-01	2.572502e-01	2.559085e-01	-2.561430e-01	-3.562462e-01	1.001032e-01	-2.281747e-01	6.708234e-04	-1.801705e-03	8.308556e-03	2.352573e-03	5.955983e-03
5             	3.406781e-01	1.706880e-01	1.699901e-01	-2.025231e-01	-2.992626e-01	9.673953e-02	-1.980011e-01	3.489399e-04	-3.682616e-03	1.328911e-02	2.961937e-03	1.032717e-02
6             	2.799400e-01	1.401782e-01	1.397619e-01	-1.775910e-01	-2.714667e-01	9.387572e-02	-1.826712e-01	2.081466e-04	-4.800492e-03	1.723852e-02	3.818770e-03	1.341975e-02
7             	2.659009e-01	1.332097e-01	1.326912e-01	-1.647916e-01	-2.589285e-01	9.413695e-02	-1.765327e-01	2.592123e-04	-5.963765e-03	2.140637e-02	4.739420e-03	1.666695e-02
8             	2.674121e-01	1.341672e-01	1.332449e-01	-1.545182e-01	-2.516450e-01	9.712685e-02	-1.743859e-01	4.611348e-04	-7.046024e-03	2.522393e-02	5.565939e-03	1.965799e-02
9             	2.775179e-01	1.394033e-01	1.381147e-01	-1.479993e-01	-2.473551e-01	9.935577e-02	-1.733554e-01	6.443040e-04	-7.845807e-03	2.848682e-02	6.397605e-03	2.208922e-02
10            	2.897587e-01	1.456291e-01	1.441297e-01	-1.433229e-01	-2.440308e-01	1.007080e-01	-1.723694e-01	7.497095e-04	-8.495814e-03	3.117645e-02	7.092409e-03	2.408404e-02
11            	3.020964e-01	1.517350e-01	1.503614e-01	-1.387976e-01	-2.399862e-01	1.011886e-01	-1.705874e-01	6.867538e-04	-8.726763e-03	3.225658e-02	7.401525e-03	2.485505e-02
12            	3.121805e-01	1.564890e-01	1.556915e-01	-1.334479e-01	-2.345964e-01	1.011484e-01	-1.678724e-01	3.987418e-04	-8.540005e-03	3.125069e-02	7.085341e-03	2.416535e-02
13            	3.203216e-01	1.600659e-01	1.602556e-01	-1.274329e-01	-2.284385e-01	1.010055e-01	-1.647220e-01	-9.483547e-05	-7.750732e-03	2.763403e-02	6.066282e-03	2.156775e-02
14            	3.254184e-01	1.620434e-01	1.633750e-01	-1.205407e-01	-2.221271e-01	1.015864e-01	-1.618567e-01	-6.658287e-04	-6.384310e-03	2.183288e-02	4.532131e-03	1.730075e-02
15            	3.279498e-01	1.627955e-01	1.651543e-01	-1.123232e-01	-2.159327e-01	1.036096e-01	-1.597711e-01	-1.179383e-03	-4.454269e-03	1.452343e-02	2.807447e-03	1.171599e-02
16            	3.286683e-01	1.628077e-01	1.658606e-01	-1.038295e-01	-2.103762e-01	1.065467e-01	-1.584614e-01	-1.526433e-03	-2.253253e-03	6.751735e-03	1.122614e-03	5.629121e-03
17            	3.277464e-01	1.621938e-01	1.655526e-01	-9.555743e-02	-2.057718e-01	1.102144e-01	-1.579931e-01	-1.679423e-03	-1.806915e-04	-2.181679e-04	-2.897754e-04	7.160753e-05
18            	3.255788e-01	1.611313e-01	1.644474e-01	-8.679874e-02	-2.016657e-01	1.148669e-01	-1.582663e-01	-1.658027e-03	1.545534e-03	-5.631813e-03	-1.270373e-03	-4.361440e-03
19            	3.220772e-01	1.595848e-01	1.624924e-01	-7.758499e-02	-1.975710e-01	1.199860e-01	-1.587785e-01	-1.453825e-03	2.974608e-03	-9.542348e-03	-1.796566e-03	-7.745782e-03
20            	3.176981e-01	1.576794e-01	1.600187e-01	-6.806885e-02	-1.929653e-01	1.248964e-01	-1.589308e-01	-1.169689e-03	4.145781e-03	-1.221391e-02	-1.961175e-03	-1.025274e-02
21            	3.130923e-01	1.556584e-01	1.574339e-01	-6.019156e-02	-1.883952e-01	1.282036e-01	-1.582994e-01	-8.877310e-04	5.128231e-03	-1.404115e-02	-1.892343e-03	-1.214880e-02
22            	3.082096e-01	1.535805e-01	1.546291e-01	-5.501340e-02	-1.842857e-01	1.292723e-01	-1.567790e-01	-5.242644e-04	5.963082e-03	-1.524768e-02	-1.660758e-03	-1.358692e-02
23            	3.038399e-01	1.518129e-01	1.520271e-01	-5.122385e-02	-1.790614e-01	1.278375e-01	-1.534495e-01	-1.070894e-04	6.656606e-03	-1.607305e-02	-1.379917e-03	-1.469313e-02
24            	3.014546e-01	1.509785e-01	1.504761e-01	-4.721315e-02	-1.709493e-01	1.237362e-01	-1.473427e-01	2.511875e-04	7.185382e-03	-1.654572e-02	-1.087479e-03	-1.545824e-02
25            	3.006404e-01	1.507767e-01	1.498637e-01	-4.291885e-02	-1.610684e-01	1.181496e-01	-1.396090e-01	4.564996e-04	7.256433e-03	-1.622888e-02	-8.580069e-04	-1.537087e-02
26            	3.000205e-01	1.505289e-01	1.494916e-01	-3.795524e-02	-1.505539e-01	1.125986e-01	-1.315763e-01	5.186483e-04	7.100256e-03	-1.553934e-02	-6.694119e-04	-1.486992e-02
27            	2.989827e-01	1.498601e-01	1.491227e-01	-3.427579e-02	-1.424696e-01	1.081938e-01	-1.253317e-01	3.686894e-04	6.757888e-03	-1.475314e-02	-6.186803e-04	-1.413446e-02
28            	2.979221e-01	1.491271e-01	1.487950e-01	-3.377174e-02	-1.395272e-01	1.057554e-01	-1.226413e-01	1.660116e-04	6.304505e-03	-1.384793e-02	-6.194611e-04	-1.322847e-02
29            	2.971458e-01	1.486100e-01	1.485358e-01	-3.719430e-02	-1.425316e-01	1.053373e-01	-1.239344e-01	3.710547e-05	5.480849e-03	-1.213118e-02	-5.847396e-04	-1.154644e-02
30            	2.969905e-01	1.484490e-01	1.485415e-01	-4.433971e-02	-1.510630e-01	1.067233e-01	-1.288931e-01	-4.627512e-05	4.294125e-03	-9.512767e-03	-4.622581e-04	-9.050509e-03
31            	2.974827e-01	1.486223e-01	1.488604e-01	-5.639069e-02	-1.664261e-01	1.100354e-01	-1.382308e-01	-1.190449e-04	2.937008e-03	-6.430360e-03	-2.781722e-04	-6.152188e-03
32            	2.984468e-01	1.491197e-01	1.493271e-01	-7.021030e-02	-1.848775e-01	1.146672e-01	-1.497723e-01	-1.037161e-04	1.743937e-03	-3.503382e-03	-7.753759e-06	-3.495629e-03
33            	2.997760e-01	1.498469e-01	1.499291e-01	-8.357496e-02	-2.028110e-01	1.192361e-01	-1.610236e-01	-4.111076e-05	8.259596e-04	-1.179244e-03	2.363376e-04	-1.415581e-03
34            	3.008657e-01	1.504384e-01	1.504273e-01	-9.241508e-02	-2.152440e-01	1.228289e-01	-1.690364e-01	5.540142e-06	2.436190e-04	2.718938e-04	3.795659e-04	-1.076721e-04
35            	3.014974e-01	1.507710e-01	1.507264e-01	-9.499079e-02	-2.199901e-01	1.249993e-01	-1.724947e-01	2.228273e-05	3.451777e-05	7.182745e-04	3.936550e-04	3.246195e-04
36            	3.017823e-01	1.509447e-01	1.508375e-01	-9.194210e-02	-2.176218e-01	1.256797e-01	-1.716508e-01	5.359269e-05	-1.779147e-04	7.543727e-04	1.992716e-04	5.551011e-04
37            	3.022623e-01	1.512913e-01	1.509710e-01	-8.538553e-02	-2.100278e-01	1.246423e-01	-1.673351e-01	1.601792e-04	-3.599958e-04	3.039042e-04	-2.080436e-04	5.119479e-04
38            	3.026678e-01	1.516602e-01	1.510076e-01	-7.848045e-02	-2.005012e-01	1.220208e-01	-1.612610e-01	3.263450e-04	-4.636907e-04	-3.922222e-04	-6.598018e-04	2.675795e-04
39            	3.026092e-01	1.517507e-01	1.508585e-01	-7.483581e-02	-1.934622e-01	1.186264e-01	-1.560443e-01	4.461327e-04	-5.691951e-04	-6.233415e-04	-8.808659e-04	2.575244e-04
40            	3.020738e-01	1.514944e-01	1.505794e-01	-7.495483e-02	-1.897180e-01	1.147632e-01	-1.522406e-01	4.574932e-04	-6.941112e-04	-1.252530e-04	-7.567377e-04	6.314847e-04
41            	3.012253e-01	1.509365e-01	1.502888e-01	-7.901901e-02	-1.902116e-01	1.111926e-01	-1.507021e-01	3.238312e-04	-9.377187e-04	1.230872e-03	-3.222829e-04	1.553155e-03
42            	3.001614e-01	1.501241e-01	1.500374e-01	-8.582606e-02	-1.942007e-01	1.083746e-01	-1.512876e-01	4.334616e-05	-1.367735e-03	3.363920e-03	3.142245e-04	3.049695e-03
43            	2.991119e-01	1.492158e-01	1.498961e-01	-9.347204e-02	-2.000157e-01	1.065436e-01	-1.532797e-01	-3.401675e-04	-1.959445e-03	6.022866e-03	1.051989e-03	4.970878e-03
44            	2.982240e-01	1.483560e-01	1.498679e-01	-1.000532e-01	-2.058217e-01	1.057684e-01	-1.557950e-01	-7.559387e-04	-2.549582e-03	8.688738e-03	1.794787e-03	6.893951e-03
45            	2.976130e-01	1.476636e-01	1.499495e-01	-1.045368e-01	-2.104102e-01	1.058734e-01	-1.581418e-01	-1.142949e-03	-2.987339e-03	1.083874e-02	2.432032e-03	8.406709e-03
46            	2.973392e-01	1.472167e-01	1.501225e-01	-1.065068e-01	-2.131013e-01	1.065945e-01	-1.598479e-01	-1.452904e-03	-3.158530e-03	1.206803e-02	2.875486e-03	9.192545e-03
47            	2.973698e-01	1.470434e-01	1.503264e-01	-1.055928e-01	-2.133394e-01	1.077465e-01	-1.605429e-01	-1.641502e-03	-2.937528e-03	1.198435e-02	3.054648e-03	8.929703e-03
48            	2.975429e-01	1.470897e-01	1.504532e-01	-1.021841e-01	-2.112901e-01	1.091060e-01	-1.601980e-01	-1.681715e-03	-2.261946e-03	1.040831e-02	2.942211e-03	7.466103e-03
49            	2.977233e-01	1.472554e-01	1.504679e-01	-9.772134e-02	-2.081204e-01	1.103991e-01	-1.592597e-01	-1.606244e-03	-1.206890e-03	7.586155e-03	2.586187e-03	4.999968e-03
50            	2.977867e-01	1.474234e-01	1.503633e-01	-9.352159e-02	-2.050331e-01	1.115116e-01	-1.582724e-01	-1.469947e-03	7.507454e-05	3.987570e-03	2.068860e-03	1.918710e-03
51            	2.977463e-01	1.475565e-01	1.501899e-01	-9.085900e-02	-2.031611e-01	1.123021e-01	-1.577316e-01	-1.316698e-03	1.378446e-03	2.247472e-04	1.490819e-03	-1.266072e-03
52            	2.975147e-01	1.476019e-01	1.499128e-01	-9.028113e-02	-2.029682e-01	1.126871e-01	-1.578277e-01	-1.155434e-03	2.493192e-03	-3.119581e-03	9.334012e-04	-4.052982e-03
53            	2.971368e-01	1.476116e-01	1.495251e-01	-9.178042e-02	-2.043784e-01	1.125979e-01	-1.584882e-01	-9.567266e-04	3.348352e-03	-5.770331e-03	4.631868e-04	-6.233518e-03
54            	2.966827e-01	1.476192e-01	1.490635e-01	-9.514728e-02	-2.071666e-01	1.120194e-01	-1.595930e-01	-7.221503e-04	3.913253e-03	-7.570248e-03	1.281288e-04	-7.698377e-03
55            	2.962733e-01	1.476747e-01	1.485986e-01	-9.988179e-02	-2.108603e-01	1.109785e-01	-1.609194e-01	-4.619708e-04	4.193826e-03	-8.455733e-03	-3.404057e-05	-8.421692e-03
56            	2.958871e-01	1.477513e-01	1.481358e-01	-1.047923e-01	-2.144746e-01	1.096823e-01	-1.620785e-01	-1.922381e-04	4.336193e-03	-8.788628e-03	-5.812120e-05	-8.730507e-03
57            	2.955989e-01	1.478694e-01	1.477295e-01	-1.094634e-01	-2.177188e-01	1.082554e-01	-1.629871e-01	6.996186e-05	4.465602e-03	-8.972604e-03	-2.069981e-05	-8.951904e-03
58            	2.953598e-01	1.479772e-01	1.473826e-01	-1.136969e-01	-2.205549e-01	1.068580e-01	-1.637065e-01	2.972991e-04	4.671749e-03	-9.314551e-03	1.447380e-05	-9.329025e-03
59            	2.951626e-01	1.480505e-01	1.471121e-01	-1.177109e-01	-2.232409e-01	1.055300e-01	-1.643854e-01	4.692022e-04	4.931301e-03	-9.807552e-03	2.752481e-05	-9.835076e-03
60            	2.949333e-01	1.480345e-01	1.468989e-01	-1.214131e-01	-2.257716e-01	1.043585e-01	-1.650650e-01	5.677910e-04	5.210911e-03	-1.037379e-02	2.401437e-05	-1.039781e-02
61            	2.946087e-01	1.479057e-01	1.467030e-01	-1.248790e-01	-2.282145e-01	1.033355e-01	-1.657750e-01	6.013172e-04	5.455834e-03	-1.083923e-02	3.622012e-05	-1.087545e-02
62            	2.941082e-01	1.476347e-01	1.464734e-01	-1.279201e-01	-2.304389e-01	1.025187e-01	-1.664788e-01	5.806364e-04	5.590005e-03	-1.102029e-02	7.985894e-05	-1.110015e-02
